Area,Pincode,Latitude,Longitude
Adugodi,560030,12.9716,77.5946
Agaram,560007,12.8431,77.4863
Air Force Stn. Yelahanka,560063,13.1048,77.5763
Banashankari,560050,12.9549,77.5461
Banashankari 2nd Stage,560070,12.9248,77.5662
Banashankari 3rd Stage,560085,12.9271,77.5548
Bangalore City H.O,560002,12.972442,77.580643
Bangalore G.P.O.,560001,12.972442,77.580643
Bangalore University,560056,12.9462,77.5103
Bannerghatta,560083,12.9426,77.6027
Bannerghatta Road,560076,12.9426,77.6027
Banaswadi,560043,13.0108,77.6493
Basavangudi,560004,12.9422,77.5748
Basaveswaranagar,560079,12.9957,77.5419
Benson Town,560046,12.9966,77.6042
Byatarayanapura,560092,13.0588,77.59385
Cottonpet,560053,12.9062,77.7066
Chamrajpet West,560018,12.9586,77.5634
Chickpet,560053,12.9708,77.5806
Chikkabanavara,560090,13.0823,77.5068
C V Raman Nagar,560093,12.9846,77.6622
Dasarahalli,560057,13.0458,77.5111
Dharmaram College,560029,12.9376,77.5991
Doddakallasandra,560062,12.8807,77.5576
Domur,560071,12.961,77.6387
Dooravaninagar,560016,13.0077,77.6737
Fraser Town,560005,13.0007,77.6165
Gandhinagar,560009,12.9791,77.5777
Ganganagar Ext.,560019,12.9463,77.5669
G.K.V.K.,560065,13.0821,77.5762
Gokula Extension,560054,12.9716,77.5946
Hebbal Agri. Farm,560024,13.0324,77.5992
Hesaraghatta,560088,13.1585,77.4888
Hesaraghatta Lake,560089,13.1585,77.4888
H K P Road,560051,12.0855,77.6068
Jalahalli,560013,13.0311,77.5569
Hospital Town East,560014,12.9956,77.6113
Hospital Town West,560015,12.9716,77.5946
Indiranagar,560038,12.9719,77.6412
J C Nagar,560006,12.9876,77.6379
Jayanagar 3rd Block,560011,12.9329,77.5839
Jayanagar East,560069,12.9301,77.5877
Jayanagar South,560041,12.9301,77.5877
J P Nagar,560078,12.9105,77.5857
Kadugodi,560067,12.9986,77.7631
Kengeri,560060,12.9,77.4833
Kothanur,560077,13.0585,77.6407
Krishnarajapuram,560036,13.0006,77.6746
Kumbalgodu,560074,12.9716,77.5946
Koramangala,560034,12.9317,77.6227
Koramangala 6th Block,560095,12.9382,77.6228
Madivala,560068,12.9211,77.6134
Magadi Road,560023,12.9709,77.5658
Mahadevapura,560048,13.0104,77.6842
Malathahalli Layout,560086,13.0114,77.5467
Malleswaram,560003,13.0081,77.5648
Malleswaram West,560055,12.9996,77.5689
Marathahally Colony,560037,12.9512,77.6998
Maruthisevanagar,560033,13.0005,77.6336
Mathikere,560054,13.032,77.5605
Nagarbhavi,560072,12.9717,77.5132
Nagasandra,560073,13.0288,77.7183
Nagavenkethalli,560094,12.9642,77.6207
Nandhini Layout,560096,13.0124,77.5361
Nayandahalli,560039,12.9396,77.5204
New Tippasandra,560075,12.9769,77.6493
Peenya S.I.,560058,13.0085,77.4996
Rajajinagar,560010,12.9906,77.5533
Richmond Town,560025,12.9634,77.6035
RT Nagar,560032,13.0223,77.5949
Seshadripuram,560020,12.9864,77.582
Shanthinagar,560027,12.9611,77.6047
Srirampuram,560021,12.987,77.5662
St Johns,560034,12.9914,77.6119
St.Thomas Town,560084,13.0059,77.6231
Subramanyapura,560061,12.9052,77.5433
Thyagarajanagar,560028,12.9293,77.568
Ulsoor H.O.,560008,12.9815,77.6192
Vasanthanagar,560052,12.9911,77.592
Yelvarenyapura,560097,13.0754,77.5591
Vijayanagar,560040,12.9699,77.5333
Vimanaipura,560017,13.0319,77.6865
Virgonagar,560049,13.0319,77.7322
Vyalikaval,560003,13.0041,77.5749
Vrushanagar,560047,12.9496,77.6223
Whitefield,560066,12.9698,77.7499
Wilson Garden,560027,12.9349,77.5978
Yelahanka,560064,13.1048,77.5763
Yeswantpur,560022,13.0178,77.5572
